company_name,company_number,address_line_1,address_line_2,post_code,locality,country
AIRLIVE LIMITED,10000510,"1st Floor, 104 Oxford Street",Oxford Street,W1D 1LP,London,United Kingdom
AIRLOAD ENGINEERING LIMITED,01542124,Unit 8,Pembroke Dock Industrial Estate,SA72 4RS,Pembroke Dock,United Kingdom
AIRLOAD WASTE MANAGEMENT LTD,10775574,Airload Buildings,Orgreave Lane,S13 9NG,Sheffield,United Kingdom
AIRLOCAL LTD,11726558,The Coach House North Building,1 Howard Road,RH2 7JE,Reigate,United Kingdom
AIRLOCATE LTD,14791229,5 Ashbourne Grove,,LA3 3NH,Morecambe,United Kingdom
AIRLOCK AVIATION LIMITED,05473267,David Gamblin Chartered Accounta,71 The Hundred,SO51 8BZ,Romsey,United Kingdom
AIRLOCK THEATRE LIMITED,14427605,Flat B,14 Charteris Road,NW6 7ET,London,United Kingdom
AIRLOCK UK LIMITED,14970896,8 Colenso Road,Ashton-On-Ribble,PR2 2LL,Preston,United Kingdom
AIRLOCUM LIMITED,11591611,1 Market Street,,TQ6 9QE,Dartmouth,United Kingdom
AIRLOFTY LTD,14916775,"Office 222 Paddington House, New Road","Stockwood Business Park, Stockwood",DY10 1AL,Kidderminster,United Kingdom
AIRLOG SOLUTIONS LIMITED,11170758,293 Green Lanes,Palmers Green,N13 4XS,London,United Kingdom
AIRLOK LIMITED,09546280,Insolvency Direct Ltd Saxon Way,Saxon House,GL52 6QX,Cheltenham,United Kingdom
AIRLOOP & SON LTD,14816025,38a Thornton Road,,DA17 6DD,Belvedere,United Kingdom
AIRLOOP LTD,12038589,9 St. Andrews Avenue,,RM12 5DS,Hornchurch,United Kingdom
AIRLOUNGE CONSULTING LIMITED,11935621,"2nd Floor Connaught House, 1-3 Mount Street",(Entrance Via Davies Street),W1K 3NB,London,United Kingdom
AIRLUME VENTURES LP,SL030787,24 Station Square,Suite 16,IV1 1LD,Inverness,United Kingdom
AIRLUN LTD,15491727,128 City Road,,EC1V 2NX,London,United Kingdom
AIRLUXE HOSPITALITY LTD,14973310,4 Grove Road,Carlton,NG7 1HJ,Nottingham,United Kingdom
AIRLUXE LTD,05899691,5 Burley Court,Pillmere Drive,PL12 6FH,Saltash,United Kingdom
AIRLUXE MANAGEMENT LTD,15182448,"Flat 2, Union Court",Union Terrace,YO31 7EU,York,United Kingdom
AIRLUXJETS LTD,14970234,128 City Road,,EC1V 2NX,London,United Kingdom
AIRLY AIR QUALITY SERVICES LTD,13653711,3rd Floor 86-90 Paul Street,East Midlands Airport,EC2A 4NE,London,United Kingdom
AIRLY INC.,FC039704,3500 S Dupont Highway Dover,County Of Kent,,Delaware,United Kingdom
AIRLY LIMITED,13463723,C/O Prydis Legal Senate Court,Southernhay Gardens,EX1 1NT,Exeter,United Kingdom
AIRLYNX CRUISE PARKING LIMITED,15609240,C/O Hjs Chartered Accountants 6 Charlecote Mews,Staple Gardens,SO23 8SR,Winchester,United Kingdom
AIRLYNX PARKING LIMITED,08458344,C/O Hjs Chartered Accountants 6 Charlecote Mews,Staple Gardens,SO23 8SR,Winchester,United Kingdom
AIRMA LIMITED,12269548,Arrowpoint Brickyard Road,Aldridge,WS9 8BW,Walsall,United Kingdom
AIRMAC GDI LIMITED,SC380200,The Mechanics Workshop,New Lanark,ML11 9DB,Lanark,United Kingdom
AIRMAC UK LTD,09049162,2 Valmont Road,,NG5 1GA,Nottingham,United Kingdom
AIRMAC VBE LIMITED,SC560321,The Mechanics Workshop,New Lanark,ML11 9DB,Lanark,United Kingdom
AIRMACS AVIATION LIMITED,14093783,7 Bell Yard,,WC2A 2JR,London,United Kingdom
AIRMAGEDDON PRODUCTIONS LTD,09744790,183 Eversholt Street,Ground Floor South,NW1 1BU,London,United Kingdom
AIRMAGIC LTD,15519892,7 Morfa Gardens,,CV6 1PX,Coventry,United Kingdom
AIRMAIL LONDON LIMITED,10062314,67 - 69 George Street,,W1U 8LT,London,United Kingdom
AIRMAIL PRESS LTD,13645028,20 The Cross,Wivenhoe,CO7 9QW,Colchester,United Kingdom
AIRMAILS LIMITED,10064414,4 Gold Tops,,NP20 4PG,Newport,United Kingdom
ARKSTONE GROUP LIMITED,15528905,8-10 South Street,,KT18 7PF,Epsom,United Kingdom
ARKSTONE INVESTMENT LIMITED,13556107,Unit 2.02 High Weald House,Glovers End,TN39 5ES,Bexhill,United Kingdom
ARKSTONE LTD,14889916,"Office 317, 3rd And 4th Floors, 84 Salop Street",Salop Street,WV3 0SR,Wolverhampton,United Kingdom
ARKSTONE PROPERTY INVESTMENT LTD,14536308,378 Walsall Road,Perry Barr,B42 2LX,Birmingham,United Kingdom
ARKSTONE PROPERTY MANAGEMENT LLP,OC438695,Unit 2.02 High Weald House,Glovers End,TN39 5ES,Bexhill,United Kingdom
ARKSTONE SOLUTIONS LTD,10867117,20-22 Wenlock Road,,N1 7GU,London,United Kingdom
ARKSTONS CAPITAL LIMITED,11848981,27 Old Gloucester Street,,WC1N 3AX,London,United Kingdom
ARKSTONS INVESTMENTS LIMITED,11015850,27 Old Gloucester Street,,WC1N 3AX,London,United Kingdom
ARKSTORE LIMITED,01610928,40 Half Moon Crescent,,N1 0TJ,London,United Kingdom
ARKSTRADES LTD,14669679,14669679 - COMPANIES HOUSE DEFAULT ADDRESS,,CF14 8LH,Cardiff,United Kingdom
ARKSUN PROPERTIES LTD,14205068,Unit 2 Burley House,Rowditch Place,DE22 3LR,Derby,United Kingdom
ARKSUPPLYCO. LTD,14586803,3 Tile Kiln,Ringmer,BN8 5LR,Lewes,United Kingdom
ARKSURE LLP,OC314087,159 Station Road,Knowle,B93 0PT,Solihull,United Kingdom
ARKSURVEYS LTD,10972958,Llwyn Derw,Angel Bank,SY8 3HY,Ludlow,United Kingdom
ARKT COACHWORKS LTD,SC642622,42 Glebe Street Glebe Street,New Cumnock,KA18 4BE,Cumnock,United Kingdom
ARKT MARKETING LIMITED,15154522,15154522 - COMPANIES HOUSE DEFAULT ADDRESS,,CF14 8LH,Cardiff,United Kingdom
ARKTA GROUP LTD,15358276,Unit 7.04 Paintworks,Arnos Vale,BS4 3EA,Bristol,United Kingdom
ARKTEC LIMITED,06324544,Lodge Farm Barn Elvetham Park Estate,Fleet Road,RG27 8AS,Hartley Wintney,United Kingdom
ARKTECH (NE) LIMITED,06959801,1 Lee Close,Pattinson North Ind Est,NE38 8QF,Washington,United Kingdom
ARKTECH AV LTD,12906612,13 Orchard Farm Cottages,Ivinghoe Aston,LU7 9DL,Leighton Buzzard,United Kingdom
ARKTECH CONSULTANCY LIMITED,07434608,Jsa Services Ltd 4th Floor Radius House,51 Clarendon Road,WD17 1HP,Watford,United Kingdom
ARKTECH CONSULTING LTD,08862931,10 Sutherland Road,,M16 0HX,Manchester,United Kingdom
ARKTECH ENTERPRISE LIMITED,13744283,1 St Anns Road South,Heald Green,SK8 3DZ,Cheadle,United Kingdom
ARKTECH IT SOLUTIONS LTD,13922589,116 Pierrefondes Avenue,,GU14 8NZ,Farnborough,United Kingdom
ARKTECK SOLUTIONS LIMITED,14935944,71-75 Shelton Street,Covent Garden,WC2H 9JQ,London,United Kingdom
ARKVER LTD,NI611577,47 Old Park Road,,BT24 8LY,Ballynahinch,United Kingdom
ARKVIEN AI LTD.,13194867,Crown House,27 Old Gloucester Street,WC1N 3AX,London,United Kingdom
ARKVIEW LTD,15453527,117 Limmer Lane,,PO22 7LR,Bognor Regis,United Kingdom
ARKVILLE DEVELOPMENTS LTD,14688105,71-75 Shelton Street,Covent Garden,WC2H 9JQ,London,United Kingdom
ARKVILLE LIMITED,13149727,3 The Green,North Runcton,PE33 0RB,King's Lynn,United Kingdom
ARKW LTD,09727136,25 St Thomas Street,,SO23 9HJ,Winchester,United Kingdom
ARKWALL LIMITED,02497479,Victoria House,Victoria St,NP44 3JS,Cwmbran,United Kingdom
ARKWAY BUILDING AND CONSTRUCTION LTD,11415802,Unit 1d Howden Hall Industrial Estate Howden Road,Silsden,BD20 0HJ,Keighley,United Kingdom
ARKWAY GROUNDWORKS LTD,13432788,Unit 1d Howden Hall Howden Road,Silsden,BD20 0HJ,Keighley,United Kingdom
ARKWAY GROUP LTD,15778743,Unit 1d Howden Hall Industrial Estate,Howden Road,BD20 0HJ,Silsden,United Kingdom
ARKWAY LIMITED,13432929,Unit 1d Howden Hall Howden Road,Silsden,BD20 0HJ,Keighley,United Kingdom
ARKWAY PLANT HIRE LTD,15777373,Unit 1d Howden Hall Howden Road,Silsden,BD20 0HJ,Keighley,United Kingdom
ARKWELL 3 LILAC LTD,15580331,128 City Road,,EC1V 2NX,London,United Kingdom
ARKWELL CONSULTING LTD,14198358,128 City Road,,EC1V 2NX,London,United Kingdom
ARKWELL FASTENERS LIMITED,01599516,Unit 1,Chapel Street,NG10 1EQ,Long Eaton,United Kingdom
ARKWELL HOMES LIMITED,SC696734,41 Dundee Road West,Broughty Ferry,DD5 1NB,Dundee,United Kingdom
ARKWELL HOUSE LTD,11013808,1029 London Road,,CR7 6JF,Thornton Heath,United Kingdom
ARKWELL PROPERTIES LIMITED,OE003727,Sovereign House Sovereign House,4 Christian Road,IM1 2SD,Douglas,Isle Of Man
ARKWEST LIMITED,06323770,145 Beverley Road,,HA4 9AP,Ruislip,United Kingdom
ARKWHEEL LIMITED,09047428,3 Hetton Road,,LS8 2RT,Leeds,United Kingdom
ARKWHITES LTD,15318493,20 Havelock Road,,TN34 1BP,Hastings,United Kingdom
ARKWOOD DEVELOPMENTS LIMITED,11383915,Newark And Sherwood District Council Castle House,Great North Road,NG24 1BY,Newark,United Kingdom
ARKWOOD LTD,08294137,The Studio 7,Mehetabel Road,E9 6DU,London,United Kingdom
ARKWOOD PROJECTS LTD,07380781,300 St. Marys Road,Garston,L19 0NQ,Liverpool,United Kingdom
ARKWOOD PROPERTY GROUP LTD,12401525,"Charles Rippin And Turner, Middlesex House,",130 College Road,HA1 1BQ,Harrow,United Kingdom
ARKWORKS BUILDERS LIMITED,06783318,134 Princes Avenue,,WD18 7SJ,Watford,United Kingdom
ARKWORLD UK LIMITED,04852670,115b Warwick Street,,CV32 4QZ,Leamington Spa,United Kingdom
ARKWRIGHT & CO SW LIMITED,08861924,"C/O Cooper Parry, New Derwent House",69-73 Theobalds Road,WC1X 8TA,London,United Kingdom
ARKWRIGHT INSURANCE BROKERS LIMITED,05479162,115 Blackburn Road,,BL1 8HF,Bolton,United Kingdom
ARKWRIGHT INVESTMENTS LIMITED,01891200,Hawthornden,3 Cranmer Street,NG3 4GH,Nottingham,United Kingdom
ARKWRIGHT LAW SOLICITORS LTD,12591239,58 Talbot Street,,NG1 5GL,Nottingham,United Kingdom
ARKWRIGHT LONDON LTD,12581339,"Profile West Suite 2, Floor 1",950 Great West Road,TW8 9ES,Brentford,United Kingdom
ARKWRIGHT LONDON PARTNERS LLP,OC445344,35 Ballards Lane,,N3 1XW,London,United Kingdom
ARL DIRECT TRANSPORT & DISTRIBUTION SERVICES LIMITED,SC644654,48 Belgrave Street,Bellshill Industrial Estate,ML4 3NP,Bellshill,United Kingdom
ARL DIRECT TRANSPORT LTD,SC779552,60 Waverly Street,Unit 2,ML5 2BE,Coatbridge,United Kingdom
BULLDOG MINI SKIPS LTD,15330909,"Yard 1, Arnock Bungalow",Southend Arterial Road,CM13 3TB,Brentwood,United Kingdom
BULLDOG MORTLAKE LIMITED,09043007,Foresters Cottage,Stoney Heath,RG26 5SW,Basingstoke,United Kingdom
BULLDOG MUSHROOMS LTD,08465312,C58-59 New Covent Garden Market,Nine Elms Lane,SW8 5JJ,London,United Kingdom
BULLDOG MUSICAL ENTERTAINMENTS LIMITED,01652098,5 Ravensfield Gardens,Stoneleigh,KT19 0ST,Surrey,United Kingdom
BULLDOG NETWORK (BOURNEMOUTH) LIMITED,04667818,"Frp Advisory Trading Limited, Mountbatten House",Grosvenor Square,SO15 2RP,Southampton,United Kingdom
BULLDOG OFFSHORE SERVICES LIMITED,04357809,Lake House,Lodge Farm Loke,NR32 5LU,Lound Lowestoft,United Kingdom
BULLDOG OUTDOORS LIMITED,05583758,48 Union Street,,SK14 1ND,Hyde,United Kingdom
